City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bairiki,75,KI,1586153009,74,1.33,172.98,86,2.24
leh,79,IN,1586152770,21,34.17,77.58,27.27,1.66
esperance,90,AU,1586153010,49,-33.87,121.9,71.6,12.75
upernavik,96,GL,1586152985,80,72.79,-56.15,12.29,5.79
cape town,75,ZA,1586152725,93,-33.93,18.42,57.99,12.75
castro,32,BR,1586152828,64,-24.79,-50.01,58.1,1.66
coquimbo,0,CL,1586153011,82,-29.95,-71.34,57.2,2.82
aklavik,75,CA,1586153011,54,68.22,-135.01,30.2,4.7
rikitea,0,PF,1586153012,67,-23.12,-134.97,75.43,10.22
mataura,100,NZ,1586153012,86,-46.19,168.86,60.01,3
taoudenni,0,ML,1586153012,20,22.68,-3.98,72.54,8.5
kamaishi,75,JP,1586153012,75,39.27,141.88,42.8,9.17
busselton,0,AU,1586152865,20,-33.65,115.33,82,8.48
san patricio,11,MX,1586153013,68,19.22,-104.7,73.35,5.66
hermanus,76,ZA,1586152866,93,-34.42,19.23,57,4
atuona,15,PF,1586153014,73,-9.8,-139.03,81.64,13.4
norman wells,20,CA,1586153014,53,65.28,-126.83,24.8,13.87
lukovetskiy,18,RU,1586153015,92,64.3,41.92,24.8,6.71
bambous virieux,40,MU,1586153015,74,-20.34,57.76,84,10.29
kapaa,1,US,1586152875,83,22.08,-159.32,75.2,6.93
khatanga,100,RU,1586153015,96,71.97,102.5,29.37,10.51
mumford,9,GH,1586153015,84,5.26,-0.76,80.8,8.39
provideniya,100,RU,1586152929,65,64.38,-173.3,8.6,17.9
bridlington,68,GB,1586152802,66,54.08,-0.19,55.4,10.29
addanki,33,IN,1586153016,33,15.82,79.98,98.53,7.63
ouadda,72,CF,1586153016,58,8.08,22.4,74.1,5.84
kungurtug,100,RU,1586153017,46,50.6,97.52,36.52,2.04
qui nhon,32,VN,1586153017,50,13.77,109.23,87.69,7.4
hobart,40,AU,1586152855,41,-42.88,147.33,59,14.99
