City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
baker city,90,US,1586122837,65,44.77,-117.83,286.15,8.2
bell ville,100,AR,1586123024,68,-32.63,-62.69,295.93,0.89
tierralta,100,CO,1586123024,68,8.17,-76.06,303.85,3.56
makat,76,KZ,1586123025,76,47.65,53.35,282.43,7.35
krasnoyarsk,0,RU,1586123025,68,56.01,92.79,269.15,1
torbay,75,CA,1586122515,74,47.67,-52.73,272.04,3.1
mataura,100,NZ,1586122871,83,-46.19,168.86,288.71,1.79
shimoda,75,JP,1586122829,49,34.67,138.95,282.59,3.1
cockburn town,20,TC,1586122799,51,21.46,-71.14,300.15,3.1
simao,72,CN,1586123026,32,22.79,100.97,288.08,0.65
tortoli,5,IT,1586123026,71,39.93,9.66,285.15,7.2
jos,90,NG,1586122927,31,9.92,8.9,299.9,1.35
shahrud,9,IR,1586123027,44,36.42,54.98,279.68,1.89
baykit,58,RU,1586122800,93,61.67,96.37,268.32,1.8
vysha,71,RU,1586123027,82,53.85,42.38,273.42,4.53
rikitea,80,PF,1586122658,65,-23.12,-134.97,297.02,4.76
batagay,91,RU,1586123028,91,67.63,134.63,261.96,2.26
klyuchi,43,RU,1586123028,81,52.27,79.17,279.99,4.11
vadakku valliyur,7,IN,1586123028,77,8.38,77.65,299.44,0.75
jamestown,20,US,1586123028,70,42.1,-79.24,287.59,4.1
mar del plata,100,AR,1586122834,60,-38,-57.56,296.15,5.1
kenai,1,US,1586122944,64,60.55,-151.26,276.48,11.8
kamenka,99,RU,1586123029,83,51.32,42.77,274.26,7.15
cape town,40,ZA,1586122376,100,-33.93,18.42,287.59,3.6
oranjemund,6,NA,1586123029,90,-28.55,16.43,287.26,1.04
tasiilaq,100,GL,1586122668,44,65.61,-37.64,265.15,2.6
albany,90,US,1586122809,55,42.6,-73.97,289.26,6.2
irbil,75,IQ,1586122840,72,36.19,44.01,288.15,2.1
lebu,0,CL,1586122773,63,-37.62,-73.65,288.94,4.92
imbituba,0,BR,1586122834,69,-28.24,-48.67,297.15,4.1
thongwa,37,MM,1586123030,83,16.76,96.53,299.15,1
busselton,70,AU,1586122459,44,-33.65,115.33,290.93,5.39
longyearbyen,20,SJ,1586122819,70,78.22,15.64,256.15,2.47
port alfred,99,ZA,1586122763,80,-33.59,26.89,292.16,5.39
atakpame,48,TG,1586123031,59,7.53,1.13,300.7,3.14
carutapera,98,BR,1586122802,85,-1.2,-46.02,300.7,4.43
ushuaia,75,AR,1586122673,80,-54.8,-68.3,277.15,14.4
gharo,16,PK,1586123032,83,24.74,67.59,297.15,2.6
klaksvik,100,FO,1586122688,81,62.23,-6.59,282.15,8.2
kavieng,93,PG,1586122777,75,-2.57,150.8,301.61,4.53
hilo,90,US,1586122753,83,19.73,-155.09,297.15,2.1
sitka,75,US,1586122833,64,57.05,-135.33,277.15,5.1
solnechnyy,0,RU,1586123032,90,50.72,136.63,269.18,2.06
puerto ayora,20,EC,1586122868,70,-0.74,-90.35,302.15,4.6
bluff,100,NZ,1586122660,83,-46.6,168.33,288.71,1.79
ilulissat,0,GL,1586123084,36,69.22,-51.1,264.15,14.4
georgetown,40,MY,1586122766,94,5.41,100.34,299.15,1.5
norman wells,20,CA,1586122766,62,65.28,-126.83,269.15,10.3
sao joao da barra,90,BR,1586122871,73,-21.64,-41.05,298.15,2.1
vaini,75,TO,1586122667,69,-21.2,-175.2,299.15,2.6
flinders,40,AU,1586122929,67,-34.58,150.86,290.37,7.2
waingapu,34,ID,1586123085,77,-9.66,120.26,299.16,1.05
arraial do cabo,40,BR,1586122757,73,-22.97,-42.03,298.15,2.1
coihaique,40,CL,1586122674,56,-45.58,-72.07,282.15,3.81
ende,36,ID,1586123086,74,-8.84,121.66,300.85,0.9
bhimunipatnam,9,IN,1586123086,77,17.88,83.43,299.16,2.26
dikson,99,RU,1586122755,96,73.51,80.55,262.38,2.57
avarua,75,CK,1586122683,83,-21.21,-159.78,301.15,4.1
kisesa,99,TZ,1586123086,64,-3.08,34.15,291.13,2.69
aguimes,20,ES,1586123087,77,27.91,-15.45,294.15,2.1
punta arenas,75,CL,1586122746,49,-53.15,-70.92,281.15,7.7
bredasdorp,94,ZA,1586122874,77,-34.53,20.04,289.15,5.1
bengkulu,99,ID,1586122782,86,-3.8,102.27,297.99,2.8
upernavik,74,GL,1586122758,80,72.79,-56.15,262.82,0.88
fortuna,75,US,1586122665,76,40.6,-124.16,285.37,4.1
salalah,0,OM,1586122509,78,17.02,54.09,300.15,1
kavaratti,84,IN,1586122851,71,10.57,72.64,301.51,2.29
provideniya,90,RU,1586122874,78,64.38,-173.3,260.15,10
new norfolk,20,AU,1586122867,66,-42.78,147.06,284.82,5.1
ulaangom,2,MN,1586122848,76,49.98,92.07,265.57,1.1
constitucion,0,CL,1586122667,52,-35.33,-72.42,290.05,8.12
newport,96,GB,1586122756,62,51.59,-3,288.71,7.2
tarakan,10,ID,1586123089,81,3.3,117.63,299.53,0.65
belmonte,90,BR,1586123089,78,-15.86,-38.88,300.15,3.1
teahupoo,1,PF,1586122799,62,-17.83,-149.27,305.15,7.2
clyde river,40,CA,1586122765,72,70.47,-68.59,261.15,10.3
hollins,75,US,1586123090,37,37.34,-79.94,296.48,1.5
mahebourg,40,MU,1586122678,78,-20.41,57.7,299.15,3.6
krasnyy chikoy,95,RU,1586123090,62,50.36,108.75,272.79,2.33
adre,3,TD,1586123000,11,13.47,22.2,301.35,3.48
whitehorse,75,CA,1586123084,37,60.72,-135.05,275.15,6.7
mehamn,75,NO,1586122772,86,71.04,27.85,271.15,3.6
hermanus,81,ZA,1586122474,98,-34.42,19.23,287.59,3.13
grindavik,90,IS,1586122999,93,63.84,-22.43,277.15,16.5
tuktoyaktuk,90,CA,1586122758,85,69.45,-133.04,268.15,10.8
kamariotissa,75,GR,1586123092,76,40.48,25.47,283.15,15.4
east london,100,ZA,1586122760,74,-33.02,27.91,294.71,5.89
saldanha,83,ZA,1586122686,82,-33.01,17.94,290.15,0.5
trelew,27,AR,1586123092,33,-43.25,-65.31,287.8,13.48
north bend,75,US,1586123093,81,43.41,-124.22,289.82,7.2
bridlington,100,GB,1586123093,51,54.08,-0.19,288.15,5.1
lexington park,20,US,1586123093,55,38.27,-76.45,294.26,6.2
fairbanks,75,US,1586123093,87,64.84,-147.72,275.15,6.2
le vauclin,40,MQ,1586123144,70,14.55,-60.84,302.15,4.6
komsomolskiy,63,UZ,1586122997,72,40.43,71.72,288.15,1
yellowknife,20,CA,1586122782,45,62.46,-114.35,268.15,4.6
goderich,54,CA,1586122865,78,43.75,-81.72,278.71,5.32
whitianga,57,NZ,1586122979,66,-36.83,175.7,289.03,4.28
ostrovnoy,64,RU,1586122818,97,68.05,39.51,266.64,6.02
gizo,87,SB,1586122987,75,-8.1,156.84,300.53,5.29
moree,0,AU,1586123145,87,-29.47,149.85,284.15,2.45
pestera,0,RO,1586123145,52,44.18,28.13,279.26,5.1
port elizabeth,100,ZA,1586122871,82,-33.92,25.57,291.15,7.7
port hardy,20,CA,1586122664,49,50.7,-127.42,282.15,5.1
lata,75,PT,1586122780,93,40.16,-8.33,288.15,2.6
maneadero,14,MX,1586123146,66,31.72,-116.57,290.93,2.68
saint-philippe,20,RE,1586122781,73,-21.36,55.77,298.15,2.6
calama,40,CL,1586123147,33,-22.47,-68.93,296.15,10.8
kropotkin,5,RU,1586123147,54,45.44,40.58,279.98,3.49
preobrazheniye,25,RU,1586123147,89,42.9,133.91,273.38,4.83
arukutti,75,IN,1586122872,94,9.87,76.35,298.15,2.6
san patricio,40,MX,1586122752,74,19.22,-104.7,303.15,10.3
santa cruz,40,BO,1586122973,58,-17.8,-63.17,303.15,8.7
buraydah,20,SA,1586122804,57,26.33,43.98,299.15,5.7
sorland,75,NO,1586122764,74,67.67,12.69,272.15,2.1
bitung,51,ID,1586123148,85,1.45,125.18,298.69,1.86
kapaa,1,US,1586122870,69,22.08,-159.32,300.15,5.1
saint anthony,1,US,1586122852,26,45.02,-93.22,287.59,4.6
dayong,81,CN,1586123149,58,25.02,118.29,288.15,1
lasa,5,IT,1586122924,74,46.62,10.7,284.15,1.5
salur,7,IN,1586123149,47,18.53,83.22,300.66,0.81
carnarvon,32,AU,1586122812,88,-24.87,113.63,294.15,3.6
kaitangata,100,NZ,1586122796,94,-46.28,169.85,287.04,1.79
souillac,40,MU,1586122752,78,-20.52,57.52,299.15,3.6
barrow,90,US,1586122763,85,71.29,-156.79,267.15,6.2
hovd,0,MN,1586122938,49,48.01,91.64,271.84,1.03
lantawan,40,PH,1586123151,69,10.62,123.98,299.15,2.6
victoria,40,HK,1586123036,82,22.29,114.16,290.37,3.6
beni,7,CD,1586123151,69,0.5,29.47,291.49,0.68
hithadhoo,0,MV,1586122466,73,-0.6,73.08,301.36,2.14
touros,20,BR,1586122990,83,-5.2,-35.46,302.15,4.6
aksarka,100,RU,1586122774,99,66.56,67.8,272.42,1.2
hit,90,IQ,1586123152,27,33.64,42.83,294.41,2.99
deputatskiy,28,RU,1586122869,87,69.3,139.9,255.99,2.23
